mm_policy,qa_function,explore_policy,save_agent_as_episodic,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
random,latest,random,True,include_walls,2,0.5,77.1,4.2609858014314
random,latest,random,True,exclude_walls,2,0.9,76.53999999999999,2.649981132008304
random,latest,random,True,exclude_walls,2,0.99,76.53999999999999,2.649981132008304
random,latest,avoid_walls,True,False,2,0.7,76.34,4.906974628016738
random,latest,random,True,include_walls,2,0.7,76.34,4.395725196142274
random,latest,random,True,False,2,0.99,76.30000000000001,6.1562975886485525
random,latest,random,True,False,2,0.9,76.3,6.1562975886485525
random,latest,random,True,exclude_walls,2,0.5,76.24000000000001,3.4943382778431737
random,latest,random,True,include_walls,2,0.99,75.36000000000001,5.522173485141518
random,latest,random,True,include_walls,2,0.9,75.35999999999999,5.522173485141518
random,strongest,avoid_walls,False,include_walls,2,0.7,75.11999999999999,5.036824396383102
random,latest,avoid_walls,False,exclude_walls,2,0.5,74.46000000000001,3.94745487624621
random,strongest,random,False,False,2,0.99,74.4,1.224744871391587
random,strongest,random,False,False,2,0.9,74.39999999999999,1.224744871391587
random,strongest,random,False,False,2,0.7,74.23999999999998,2.9709257816377748
random,latest,avoid_walls,False,include_walls,2,0.7,73.67999999999999,6.092421521858117
random,latest,avoid_walls,False,exclude_walls,2,0.9,72.86,4.508924483732235
random,latest,avoid_walls,False,exclude_walls,2,0.99,72.86,4.508924483732235
random,latest,avoid_walls,False,exclude_walls,2,0.7,72.78,3.2737745799000906
random,strongest,avoid_walls,False,include_walls,2,0.9,72.76,4.400272718820959
random,strongest,avoid_walls,False,include_walls,2,0.99,72.76,4.400272718820959
random,strongest,avoid_walls,False,False,2,0.7,72.55999999999999,7.485345683400334
random,strongest,avoid_walls,False,False,2,0.9,72.36,7.319726770856956
random,strongest,avoid_walls,False,False,2,0.99,72.36,7.319726770856956
random,latest,avoid_walls,False,include_walls,2,0.99,71.88000000000001,5.220498060530237
random,latest,avoid_walls,False,include_walls,2,0.9,71.88,5.220498060530238
random,strongest,random,False,exclude_walls,2,0.5,71.16000000000001,7.066710691686764
random,latest,random,False,include_walls,2,0.7,70.96000000000001,4.716608951354774
random,strongest,avoid_walls,False,False,2,0.5,70.96,6.8136920975342
random,strongest,avoid_walls,False,exclude_walls,2,0.7,70.74000000000001,5.129756329495586
random,strongest,random,False,exclude_walls,2,0.9,70.67999999999999,6.316138060555676
random,strongest,random,False,exclude_walls,2,0.99,70.67999999999999,6.316138060555676
random,strongest,avoid_walls,False,exclude_walls,2,0.9,70.34,4.752094275159113
random,strongest,avoid_walls,False,exclude_walls,2,0.99,70.34,4.752094275159113
random,strongest,random,False,include_walls,2,0.5,70.0,8.00599775168592
random,strongest,random,False,False,2,0.5,69.66,4.79608173408252
random,latest,avoid_walls,False,False,2,0.9,69.32000000000001,6.229735146858173
random,latest,avoid_walls,False,False,2,0.99,69.32000000000001,6.229735146858173
random,strongest,random,False,include_walls,2,0.9,69.12,4.031575374465917
random,strongest,random,False,include_walls,2,0.99,69.12,4.031575374465917
random,strongest,random,False,exclude_walls,2,0.7,68.92,5.129288449677987
random,strongest,avoid_walls,False,exclude_walls,2,0.5,68.54,6.37294280532942
random,strongest,avoid_walls,False,include_walls,2,0.5,68.4,4.437566900904143
random,latest,random,False,include_walls,2,0.5,68.06,4.9297464437839
random,latest,random,False,False,2,0.7,67.7,7.720103626247512
random,latest,avoid_walls,False,False,2,0.7,67.48,3.285361471740973
random,latest,random,False,False,2,0.9,67.46,5.321879367291219
random,latest,random,False,False,2,0.99,67.46,5.321879367291219
random,latest,random,False,include_walls,2,0.9,67.3,5.588917605404467
random,latest,random,False,include_walls,2,0.99,67.3,5.588917605404467
random,latest,random,False,False,2,0.5,67.26,5.675420689252912
random,latest,random,False,exclude_walls,2,0.5,67.24,5.213290707413119
random,strongest,random,False,include_walls,2,0.7,67.24,4.959677408864412
random,latest,avoid_walls,False,False,2,0.5,67.0,4.376756790135821
random,latest,random,False,exclude_walls,2,0.9,66.38,4.527427525648531
random,latest,random,False,exclude_walls,2,0.99,66.38,4.527427525648531
random,latest,random,False,exclude_walls,2,0.7,66.05999999999999,1.6764247671756716
semantic,strongest,avoid_walls,False,False,6,0.7,482.64000000000004,5.358955122036394
episodic,latest,avoid_walls,True,False,6,1.0,476.85999999999996,4.204093243494966
semantic,strongest,avoid_walls,False,exclude_walls,6,0.7,475.06000000000006,14.841644113776619
random,random,avoid_walls,True,False,6,0.5,473.26000000000005,5.132874438362979
semantic,strongest,avoid_walls,False,False,6,0.5,473.02,5.035633028726377
semantic,strongest,avoid_walls,False,exclude_walls,6,0.5,472.48,8.516196334044922
episodic,latest,avoid_walls,False,False,6,1.0,472.1,1.7866169147301827
random,random,avoid_walls,True,exclude_walls,6,0.5,468.9200000000001,8.982739003221678
random,latest_strongest,avoid_walls,True,False,6,0.7,467.9799999999999,3.6679149390355277
random,latest_strongest,avoid_walls,True,False,6,0.5,467.5,8.24960605120026
semantic,strongest,avoid_walls,False,include_walls,6,0.5,466.14,10.603697468336224
random,latest_strongest,avoid_walls,True,False,6,0.9,464.58000000000004,5.528978205780894
semantic,strongest,avoid_walls,False,include_walls,6,0.7,463.7,14.454757002454237
random,latest_strongest,avoid_walls,True,exclude_walls,6,0.5,463.3,4.003498470088382
random,random,avoid_walls,True,False,6,0.7,462.56000000000006,10.813621040151167
random,random,avoid_walls,True,include_walls,6,0.7,462.4200000000001,1.0703270528207707
random,latest_strongest,avoid_walls,False,False,6,0.5,462.3,6.079802628375378
random,random,avoid_walls,True,exclude_walls,6,0.7,461.96000000000004,5.326387143270757
random,latest_strongest,avoid_walls,True,exclude_walls,6,0.7,461.6,11.554393103923715
random,latest_strongest,avoid_walls,True,include_walls,6,0.7,461.14,12.527346087659595
random,latest_strongest,avoid_walls,True,exclude_walls,6,0.99,460.85999999999996,8.265252567223818
random,random,avoid_walls,True,include_walls,6,0.5,460.35999999999996,13.724372481100914
random,latest_strongest,avoid_walls,True,include_walls,6,0.9,459.64,10.607091967169893
random,latest_strongest,avoid_walls,True,False,6,0.99,459.0,18.718867487110423
random,latest_strongest,avoid_walls,True,include_walls,6,0.5,458.96000000000004,13.228696080869042
random,random,avoid_walls,True,exclude_walls,6,0.9,458.62,8.298288980265756
random,latest_strongest,avoid_walls,True,exclude_walls,6,0.9,458.36,12.685834619763881
random,latest_strongest,avoid_walls,True,include_walls,6,0.99,457.6,4.863743414284923
random,latest_strongest,avoid_walls,False,False,6,0.7,457.02,7.691917836274657
random,random,avoid_walls,True,include_walls,6,0.9,455.14,14.349717767259412
random,random,avoid_walls,True,False,6,0.9,454.46000000000004,9.392890928782249
random,random,avoid_walls,False,include_walls,6,0.5,454.0,9.74864093091955
random,random,avoid_walls,True,False,6,0.99,452.34,10.28525157689397
random,latest_strongest,avoid_walls,False,exclude_walls,6,0.5,452.3,8.489287367029098
random,random,random,False,exclude_walls,6,0.7,452.06000000000006,20.7785081273897
random,random,avoid_walls,False,exclude_walls,6,0.5,451.78000000000003,20.636414417238278
random,random,avoid_walls,True,include_walls,6,0.99,451.68,13.434492919347578
random,random,avoid_walls,False,False,6,0.7,451.56000000000006,9.369012754821078
random,latest_strongest,avoid_walls,False,include_walls,6,0.5,451.21999999999997,12.508141348737627
random,latest_strongest,avoid_walls,False,include_walls,6,0.99,451.1,7.9676847327187925
random,latest_strongest,avoid_walls,False,exclude_walls,6,0.7,450.96000000000004,7.845406299230142
random,random,random,True,exclude_walls,6,0.7,450.36,13.310537179242623
random,latest_strongest,avoid_walls,False,False,6,0.9,449.43999999999994,11.04963347808423
random,random,avoid_walls,False,exclude_walls,6,0.7,449.14,8.906986022218735
semantic,strongest,random,False,False,6,0.5,448.71999999999997,9.10942369197963
random,random,avoid_walls,False,False,6,0.9,448.08000000000004,19.290660952906723
random,latest_strongest,avoid_walls,False,include_walls,6,0.7,447.93999999999994,14.881075229969102
random,random,random,False,False,6,0.9,447.5400000000001,9.800938730550254
random,latest_strongest,random,False,False,6,0.9,447.12,14.450660884540891
random,latest_strongest,avoid_walls,False,False,6,0.99,446.73999999999995,8.64097216752837
random,random,avoid_walls,False,False,6,0.5,445.9,6.836665854054897
random,random,avoid_walls,False,exclude_walls,6,0.9,444.78000000000003,9.485441476283546
random,random,avoid_walls,True,exclude_walls,6,0.99,444.7200000000001,6.933801266260818
random,random,random,True,False,6,0.5,444.67999999999995,16.11414285650963
